episode,instance_id,epsilon,total_reward,td_diff_mean,td_diff_max,td_diff_min,network_diff,lost_opportunities,final_profit,n_penalties,n_bonuses,remaining_capacity
2,394,1.0,4.627537212449256,0.0,0.0,0.0,0.0,15,13679.0,6,6,15.0
3,22,0.99988125,6.036333878887072,0.0,0.0,0.0,0.0,18,19052.0,4,2,23.0
4,108,0.9997625,4.530985915492959,0.0,0.0,0.0,0.0,23,14749.0,3,0,6.0
5,31,0.99964375,4.016472868217054,0.0,0.0,0.0,0.0,28,12435.0,0,0,171.0
6,380,0.999525,3.0512905360688287,0.0,0.0,0.0,0.0,31,9221.0,0,0,455.0
7,828,0.99940625,4.8767132401862945,0.0,0.0,0.0,0.0,24,14960.0,2,1,32.0
8,675,0.9992875,5.785625000000001,0.0,0.0,0.0,0.0,17,19154.0,4,2,24.0
9,288,0.99916875,5.029160063391443,0.0,0.0,0.0,0.0,23,16498.0,2,0,83.0
10,925,0.99905,5.397922568460809,0.0,0.0,0.0,0.0,12,15243.0,4,10,3.0
11,722,0.99893125,3.929397914564413,0.0,0.0,0.0,0.0,23,12574.0,4,1,23.0
12,516,0.9988125,2.6662049861495847,0.0,0.0,0.0,0.0,33,7700.0,0,0,422.0
13,777,0.99869375,6.766012186865268,0.0,0.0,0.0,0.0,13,20873.0,6,3,16.0
14,67,0.998575,4.862357908411823,0.0,0.0,0.0,0.0,14,15587.0,7,5,21.0
15,613,0.99845625,4.563343205001646,0.0,0.0,0.0,0.0,28,13868.0,0,0,128.0
16,581,0.9983375,4.439536360749445,0.0,0.0,0.0,0.0,22,14295.0,3,2,33.0
17,928,0.99821875,5.999669421487603,0.0,0.0,0.0,0.0,18,18149.0,3,3,23.0
18,812,0.9981,4.851582278481013,0.0,0.0,0.0,0.0,26,15331.0,0,0,140.0
19,565,0.99798125,4.223597025016904,0.0,0.0,0.0,0.0,16,13085.0,7,5,25.0
20,572,0.9978625,5.998263888888888,0.0,0.0,0.0,0.0,23,16987.0,0,1,38.0
21,783,0.99774375,4.564111378480577,0.0,0.0,0.0,0.0,27,13277.0,0,0,362.0
22,902,0.997625,3.992910087012569,0.0,0.0,0.0,0.0,28,12390.0,0,0,96.0
23,61,0.99750625,5.13937165775401,0.0,0.0,0.0,0.0,19,15377.0,3,3,27.0
24,199,0.9973875,4.600541638456329,0.0,0.0,0.0,0.0,27,13590.0,0,0,74.0
25,211,0.99726875,4.004626569729015,0.0,0.0,0.0,0.0,29,12118.0,0,0,314.0
26,424,0.99715,4.633407856914723,0.0,0.0,0.0,0.0,19,13881.0,3,5,20.0
27,439,0.99703125,3.341056533827618,0.0,0.0,0.0,0.0,30,10815.0,0,0,474.0
28,890,0.9969125,3.33042071197411,0.0,0.0,0.0,0.0,30,10291.0,0,0,122.0
